,word,count
0,that,21699
1,good,19814
2,nice,18900
3,dark,17886
4,brown,16983
5,sweet,15834
6,light,12951
7,little,12685
8,my,11087
9,white,10225
10,roasted,9289
11,great,8596
12,more,8271
13,bitter,8196
14,smooth,7790
15,medium,7782
16,thin,7532
17,creamy,6680
18,dry,6524
19,black,6485
20,clear,6306
21,slight,5948
22,crisp,5729
23,which,5608
24,clean,5200
25,its,5154
26,decent,4795
27,golden,4727
28,much,4646
29,thick,4596
30,mild,4572
31,moderate,4276
32,earthy,4100
33,pale,4080
34,full,4037
35,strong,4027
36,big,3954
37,easy,3879
38,floral,3837
39,bad,3652
40,better,3623
41,rich,3400
42,other,3338
43,small,3278
44,solid,3131
45,hoppy,3056
46,deep,3038
47,best,2961
48,american,2899
49,nutty,2849
