,bullishness,fract_negative,fract_positive,n_negative,n_positive,n_token,rating,style
0,-0.0408,0.041666666666666664,0.0,1,0,24,3.06,American Pale Lager
1,0.0109,0.04597701149425287,0.05747126436781609,4,5,87,3.76,American Pale Lager
2,-0.0339,0.07142857142857142,0.03571428571428571,6,3,84,3.96,American Pale Lager
3,0.1112,0.0,0.11764705882352941,0,6,51,3.25,American Pale Lager
4,-0.0163,0.03910614525139665,0.0223463687150838,7,4,179,3.24,American Pale Lager
5,0.087,0.0,0.09090909090909091,0,2,22,4.03,American Pale Lager
6,0.0788,0.016666666666666666,0.1,1,6,60,3.27,American Pale Lager
7,0.0239,0.012259194395796848,0.03677758318739054,7,21,571,3.45,American Pale Lager
8,0.044,0.047058823529411764,0.09411764705882353,4,8,85,4.1,American Pale Lager
9,-0.0103,0.0425531914893617,0.031914893617021274,4,3,94,3.5,American Pale Lager
10,-0.029,0.06060606060606061,0.030303030303030304,2,1,33,2.19,American Pale Lager
11,0.0408,0.03349282296650718,0.07655502392344497,7,16,209,3.48,American Pale Lager
12,0.0192,0.019801980198019802,0.039603960396039604,2,4,101,2.84,American Pale Lager
13,0.027,0.013888888888888888,0.041666666666666664,1,3,72,2.23,American Pale Lager
14,0.087,0.0,0.09090909090909091,0,2,22,3.36,American Pale Lager
15,0.0225,0.047619047619047616,0.07142857142857142,2,3,42,3.07,American Pale Lager
16,0.075,0.02666666666666667,0.10666666666666667,2,8,75,4.0,American Pale Lager
17,0.0267,0.027777777777777776,0.05555555555555555,1,2,36,2.51,American Pale Lager
18,0.0323,0.0,0.03278688524590164,0,2,61,2.5,American Pale Lager
19,0.047,0.0297029702970297,0.07920792079207921,3,8,101,4.0,American Pale Lager
20,0.0205,0.026595744680851064,0.047872340425531915,5,9,188,4.17,American Pale Lager
21,0.023,0.023809523809523808,0.047619047619047616,1,2,42,2.64,American Pale Lager
22,0.0206,0.043478260869565216,0.06521739130434782,2,3,46,2.83,American Pale Lager
23,0.0588,0.03125,0.09375,2,6,64,3.43,American Pale Lager
24,0.0741,0.0,0.07692307692307693,0,4,52,3.52,American Pale Lager
25,0.0174,0.0,0.017543859649122806,0,1,57,3.62,American Pale Lager
26,0.0572,0.030303030303030304,0.09090909090909091,1,3,33,2.6,American Pale Lager
27,0.0506,0.02666666666666667,0.08,2,6,75,3.82,American Pale Lager
28,0.1001,0.0,0.10526315789473684,0,4,38,3.28,American Pale Lager
29,0.1699,0.0,0.18518518518518517,0,5,27,3.55,American Pale Lager
30,0.0476,0.0,0.04878048780487805,0,2,41,3.6,American Pale Lager
31,0.0127,0.04,0.05333333333333334,3,4,75,3.97,American Pale Lager
32,0.1911,0.0,0.21052631578947367,0,4,19,4.71,American Pale Lager
33,0.0087,0.02702702702702703,0.036036036036036036,3,4,111,2.83,American Pale Lager
34,0.0652,0.011363636363636364,0.07954545454545454,1,7,88,4.06,American Pale Lager
35,0.0208,0.0,0.021052631578947368,0,2,95,5.0,American Pale Lager
36,0.0785,0.020833333333333332,0.10416666666666667,1,5,48,3.12,American Pale Lager
37,0.0,0.05263157894736842,0.05263157894736842,4,4,76,3.54,American Pale Lager
38,0.0551,0.019230769230769232,0.07692307692307693,1,4,52,2.51,American Pale Lager
39,0.0,0.02631578947368421,0.02631578947368421,1,1,38,1.41,American Pale Lager
40,0.027,0.028169014084507043,0.056338028169014086,4,8,142,3.75,American Pale Lager
41,0.0483,0.0,0.04950495049504951,0,5,101,2.89,American Pale Lager
42,0.0364,0.0,0.037037037037037035,0,1,27,5.0,American Pale Lager
43,0.0408,0.043478260869565216,0.08695652173913043,2,4,46,3.29,American Pale Lager
44,0.023,0.023809523809523808,0.047619047619047616,1,2,42,3.22,American Pale Lager
45,0.0278,0.0,0.028169014084507043,0,2,71,3.21,American Pale Lager
46,0.0215,0.022222222222222223,0.044444444444444446,1,2,45,3.27,American Pale Lager
47,0.1382,0.0,0.14814814814814814,0,4,27,3.82,American Pale Lager
48,0.0924,0.03333333333333333,0.13333333333333333,1,4,30,3.24,American Pale Lager
49,0.0606,0.012658227848101266,0.0759493670886076,1,6,79,3.24,American Pale Lager
50,0.0293,0.0,0.0297029702970297,0,3,101,3.38,American Pale Lager
51,0.042,0.014492753623188406,0.057971014492753624,1,4,69,2.53,American Pale Lager
52,0.05,0.044642857142857144,0.09821428571428571,5,11,112,4.04,American Pale Lager
53,0.0448,0.0,0.04580152671755725,0,6,131,3.37,American Pale Lager
54,-0.0174,0.017543859649122806,0.0,1,0,57,3.2,American Pale Lager
55,-0.0339,0.07142857142857142,0.03571428571428571,4,2,56,3.58,American Pale Lager
56,0.0513,0.0,0.05263157894736842,0,6,114,4.0,American Pale Lager
57,0.018,0.028037383177570093,0.04672897196261682,3,5,107,3.07,American Pale Lager
58,0.0488,0.014492753623188406,0.06521739130434782,2,9,138,3.75,American Pale Lager
