,word,count
0,is,78115
1,was,18846
2,'s,16295
3,be,10557
4,has,10429
5,would,9464
6,are,9262
7,poured,9127
8,have,8779
9,pours,8457
10,had,8085
11,lacing,6327
12,can,5675
13,do,5366
14,drink,5354
15,does,5070
16,get,4863
17,could,4390
18,bodied,4167
19,'m,4079
20,feel,3784
21,toasted,3506
22,'ve,3441
23,like,3430
24,think,3212
25,leaves,3031
26,smells,3029
27,did,3002
28,will,2655
29,comes,2626
30,'d,2623
31,tastes,2289
32,going,2199
33,hops,2171
34,see,2162
35,try,2160
36,being,2152
37,expected,2148
38,got,2103
39,lingering,2099
40,roasted,2071
41,seems,2031
42,looks,2001
43,say,1995
44,make,1985
45,go,1910
46,taste,1892
47,come,1885
48,burnt,1873
49,makes,1869
