,word,count
0,a,202775
1,the,159273
2,and,127985
3,of,103181
4,with,78804
5,is,78139
6,it,62591
7,i,59318
8,to,57226
9,this,50621
10,but,41831
11,in,40343
12,beer,39452
13,that,35647
14,head,31554
15,very,29775
16,not,29494
17,light,29021
18,on,27877
19,taste,25215
20,for,24913
21,some,24188
22,as,23072
23,brown,22396
24,'s,21873
25,malt,21170
26,like,20718
27,good,20573
28,dark,20266
29,nice,20195
30,chocolate,20004
31,was,18850
32,coffee,18511
33,hops,17736
34,sweet,17692
35,from,16703
36,carbonation,16628
37,flavor,16559
38,more,14987
39,one,14969
40,bit,14824
41,medium,14632
42,aroma,14355
43,finish,13821
44,little,13639
45,at,13624
46,n't,13555
47,glass,13502
48,an,13493
49,there,13096
